Crop,Location,Month,Year,Price
Wheat,Bangalore,1,2024,1800
Wheat,Bangalore,2,2024,1900
Wheat,Bangalore,3,2024,2000
Rice,Mysore,1,2024,2200
Rice,Mysore,2,2024,2100
Rice,Mysore,3,2024,2300
Corn,Hubli,1,2024,1500
Corn,Hubli,2,2024,1600
Corn,Hubli,3,2024,1700
Wheat,Bangalore,4,2024,2100
Rice,Mysore,4,2024,2400
Corn,Hubli,4,2024,1800
Wheat,Bangalore,5,2024,2200
Rice,Mysore,5,2024,2500
Corn,Hubli,5,2024,1900
Wheat,Bangalore,6,2024,2300
Rice,Mysore,6,2024,2600
Corn,Hubli,6,2024,2000
Wheat,Bangalore,7,2024,2400
Rice,Mysore,7,2024,2700
Corn,Hubli,7,2024,2100
Wheat,Bangalore,8,2024,2500
Rice,Mysore,8,2024,2800
Corn,Hubli,8,2024,2200
Wheat,Bangalore,9,2024,2600
Rice,Mysore,9,2024,2900
Corn,Hubli,9,2024,2300
Wheat,Bangalore,10,2024,2700
Rice,Mysore,10,2024,3000
Corn,Hubli,10,2024,2400
Wheat,Bangalore,11,2024,2800
Rice,Mysore,11,2024,3100
Corn,Hubli,11,2024,2500
Wheat,Bangalore,12,2024,2900
Rice,Mysore,12,2024,3200
Corn,Hubli,12,2024,2600
